,Compound,Date,Negative,Network,Neutral,Positive,Tweet Text,Tweets Ago
0,-0.7906,Sun Mar 04 23:03:00 +0000 2018,0.35,@FoxNews,0.65,0.0,OPINION: An attack on North Korea could start a US-China war -- Don't do it  https://t.co/L2B5a9rK5q,1
1,0.0,Sun Mar 04 22:49:06 +0000 2018,0.0,@FoxNews,1.0,0.0,".@united flight experiences extreme turbulence, ‘entire flight threw up’ https://t.co/A25PG6ArpI",2
2,0.0,Sun Mar 04 22:48:43 +0000 2018,0.0,@FoxNews,1.0,0.0,Ryan Seacrest expected to get cold shoulder on Oscars red carpet https://t.co/3YlIAtCJT8,3
3,-0.5267,Sun Mar 04 22:40:34 +0000 2018,0.239,@FoxNews,0.761,0.0,".@TomFitton: ""The dossier is the reason for the Mueller investigation. No dossier, no Mueller investigation."" https://t.co/Tib2O9hrhv",4
4,0.0,Sun Mar 04 22:30:12 +0000 2018,0.0,@FoxNews,1.0,0.0,"On ""Sunday Morning Futures with @MariaBartiromo,"" @GovMikeHuckabee defended @NRA members against those who call the… https://t.co/H2oYYCZeC5",5
5,0.4215,Sun Mar 04 22:28:05 +0000 2018,0.145,@FoxNews,0.542,0.313,"Trump, Netanyahu to meet amid growing uncertainty on Mideast peace deal https://t.co/BSdUZeUxZl",6
6,0.0,Sun Mar 04 22:19:46 +0000 2018,0.0,@FoxNews,1.0,0.0,"First woman to try to enter Corps of Cadets says she considers herself alum of The Citadel
https://t.co/ZfOrB0bPOn",7
7,0.802,Sun Mar 04 22:11:35 +0000 2018,0.0,@FoxNews,0.676,0.324,"Yesterday, @VP Mike Pence tweeted a message of optimism, celebrating Fiat Chrysler's decision ""to move their entire… https://t.co/CUStWv3McB",8
8,-0.34,Sun Mar 04 22:03:53 +0000 2018,0.211,@FoxNews,0.789,0.0,Instant Pot recall: this model may be a fire hazard https://t.co/jxi6wuphRV,9
9,-0.8658,Sun Mar 04 21:56:58 +0000 2018,0.492,@FoxNews,0.508,0.0,Elderly Minnesota man suffers facial fractures in beating after road rage incident https://t.co/6ywsj63qxn,10
10,0.4019,Sun Mar 04 21:49:16 +0000 2018,0.0,@FoxNews,0.828,0.172,Poll: Which party would you vote for if the Congressional election were today? https://t.co/v1w3LGDkF0,11
11,0.0,Sun Mar 04 21:46:46 +0000 2018,0.0,@FoxNews,1.0,0.0,"Coyote that bit several people was rabid, police say https://t.co/lZqSwv6c13",12
12,0.0,Sun Mar 04 21:39:03 +0000 2018,0.0,@FoxNews,1.0,0.0,"John Fund on @JoeBiden running in 2020: ""The Democrats have to make a fundamental decision. We know the Democratic… https://t.co/Lgyk87rUoM",13
13,0.0,Sun Mar 04 21:37:28 +0000 2018,0.0,@FoxNews,1.0,0.0,"On @foxandfriends,@mschlapp commented on President @realDonaldTrump allowing cameras in @WhiteHouse meetings. https://t.co/6P7Oas4shL",14
14,0.6597,Sun Mar 04 21:36:31 +0000 2018,0.0,@FoxNews,0.759,0.241,"John Fund on Pennsylvania special election: ""These moderate Democrats are basically being run out of the party. Whe… https://t.co/Q1SItUAQwb",15
15,-0.6808,Sun Mar 04 21:32:12 +0000 2018,0.384,@FoxNews,0.616,0.0,Man arrested with severed head in bag was a 'mama's boy' https://t.co/N3BLF5wrAJ,16
16,-0.347,Sun Mar 04 21:25:00 +0000 2018,0.189,@FoxNews,0.687,0.124,"TONIGHT: A special 2-hour SCANDALOUS - First, Episode 6: 'Impeachment,' then the all-new finale: 'The Show That Nev… https://t.co/tDwSEQS5iA",17
17,-0.347,Sun Mar 04 21:23:00 +0000 2018,0.189,@FoxNews,0.687,0.124,"TONIGHT: A special 2-hour SCANDALOUS - First, Episode 6: 'Impeachment,' then the all-new finale: 'The Show That Nev… https://t.co/d6hG9858Cx",18
18,0.0,Sun Mar 04 21:22:46 +0000 2018,0.0,@FoxNews,1.0,0.0,"LISTEN: Alec Baldwin Calls into Brother's Radio Show as Trump, Debates Himself https://t.co/iPB5w0uK9h",19
19,0.4019,Sun Mar 04 21:21:39 +0000 2018,0.0,@FoxNews,0.863,0.137,"RT @EricShawnTV: I anchor @Foxnews at 4pm. It could be a @POTUS @realDonaldTrump test, the special Congressional election in #Pennsylvania.…",20
20,0.3612,Sun Mar 04 21:15:00 +0000 2018,0.0,@FoxNews,0.884,0.116,".@TGowdySC: ""This Democrat memo makes me smile. If it were up to @AdamSchiffCA... it would've been a haiku and not… https://t.co/uQ4awQfnF3",21
21,0.0,Sun Mar 04 21:10:44 +0000 2018,0.0,@FoxNews,1.0,0.0,"Earlier, President @realDonaldTrump tweeted about the annual Gridiron Dinner in Washington. https://t.co/p4TyguSns4 https://t.co/K3gPYakrY3",22
22,0.4019,Sun Mar 04 21:10:00 +0000 2018,0.0,@FoxNews,0.787,0.213,".@TGowdySC: ""I think we're trending perhaps towards another special counsel."" https://t.co/0Rlsji1PwF",23
23,0.0,Sun Mar 04 21:05:00 +0000 2018,0.0,@FoxNews,1.0,0.0,".@SecretaryRoss: ""We're talking about a total of $9 billion of tariffs. That's about one half of one percent of the… https://t.co/TTWNutTxYI",24
24,0.0,Sun Mar 04 20:59:49 +0000 2018,0.0,@FoxNews,1.0,0.0,"Girl, 2, dies after Payless store mirror falls on her, officials say https://t.co/vJoGZpOcCw",25
25,0.6808,Sun Mar 04 20:52:21 +0000 2018,0.0,@FoxNews,0.781,0.219,".@MariaBartiromo: ""The U.S. has been behind the curve in terms of free and fair trade for a long time, and @POTUS p… https://t.co/FEZBIHPZeT",26
26,0.0,Sun Mar 04 20:46:03 +0000 2018,0.0,@FoxNews,1.0,0.0,".@ChrisChristie on Kushner: A Lot Harder for @POTUS to Rein In Aides 'You're Sitting at Thanksgiving With'
https://t.co/xXj3Vq3BFr",27
27,-0.3612,Sun Mar 04 20:37:30 +0000 2018,0.238,@FoxNews,0.762,0.0,.@newtgingrich: Congress must fix @BarackObama's joint employer mess https://t.co/ABCluQEM21,28
28,0.4215,Sun Mar 04 20:34:10 +0000 2018,0.0,@FoxNews,0.823,0.177,Mueller team looking into possible United Arab Emirates money into Trump campaign: report https://t.co/AKWlnfznbl,29
29,-0.7769,Sun Mar 04 20:23:30 +0000 2018,0.285,@FoxNews,0.715,0.0,"Gerald Seib on Russia threat: ""There's a really sustained attack on the [institutions] of democracy and its role as… https://t.co/BNAMeafZmf",30
30,0.0129,Sun Mar 04 20:23:21 +0000 2018,0.086,@FoxNews,0.826,0.088,"At Gridiron Dinner, Trump jokes on politics -- but gets serious about North Korea talks https://t.co/4iQSO01v9k",31
31,-0.3612,Sun Mar 04 20:18:53 +0000 2018,0.252,@FoxNews,0.611,0.137,Top NASCAR Venue Sticking With NRA Amid Business Outcry https://t.co/sFSzYSm6ss,32
32,-0.5574,Sun Mar 04 20:13:16 +0000 2018,0.195,@FoxNews,0.805,0.0,"Jane Harman on gun control: ""It's not a debate between guns or no guns, it's a debate about what level of protectio… https://t.co/PVqV5nlwON",33
